Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
GAME,4.4,144545,13M,Free,0,Teen,Action,"December 1, 2011",1.1.0,2.1 and up
FAMILY,3.0,10,717k,Free,0,Everyone,Entertainment,"June 22, 2016",0.0.7,4.0.3 and up
PRODUCTIVITY,4.6,25370,Varies with device,Free,0,Everyone,Productivity,"August 6, 2018",Varies with device,Varies with device
FAMILY,2.3,10,5.2M,Free,0,Everyone,Education,"February 8, 2017",1.0.0,4.1 and up
LIFESTYLE,4.9,18,24M,Free,0,Everyone,Lifestyle,"March 28, 2018",4.0.2,4.0.3 and up
COMICS,4.1,45651,Varies with device,Free,0,Teen,Comics,"May 24, 2018",Varies with device,Varies with device
MEDICAL,4.6,1976,69M,Free,0,Everyone,Medical,"August 3, 2018",6.02.000,6.0 and up
TOOLS,3.1,364,2.3M,Free,0,Everyone,Tools,"March 2, 2018",2,4.0.3 and up
FAMILY,4.6,13,1.3M,Free,0,Everyone,Entertainment,"October 20, 2016",1.1,4.1 and up
SOCIAL,3.9,19,15M,Free,0,Teen,Social,"February 13, 2018",2.0,4.1 and up
GAME,4.3,1305050,Varies with device,Free,0,Everyone 10+,Adventure,"July 29, 2018",1.1.11.11,4.1 and up
GAME,4.1,341,26M,Free,0,Teen,Casino,"August 12, 2016",1.18,4.0 and up
TRAVEL_AND_LOCAL,4.7,193364,33M,Free,0,Everyone,Travel & Local,"June 7, 2018",17.4.1,4.0.3 and up
PRODUCTIVITY,,0,3.1M,Free,0,Everyone,Productivity,"December 1, 2017",1,4.4 and up
MEDICAL,5.0,2,1.2M,Paid,$2.99,Everyone,Medical,"December 16, 2015",1.0,4.0 and up
BOOKS_AND_REFERENCE,4.5,313,6.9M,Free,0,Everyone,Books & Reference,"August 4, 2018",0.7,1.0 and up
FAMILY,4.8,306,3.3M,Free,0,Everyone,Education,"June 3, 2017",1.2,4.1 and up
LIFESTYLE,2.0,8,12M,Free,0,Everyone,Lifestyle,"November 14, 2016",2.0.18.23,2.3 and up
BOOKS_AND_REFERENCE,3.4,1680,4.0M,Free,0,Everyone,Books & Reference,"August 20, 2016",3.05,4.0.3 and up
FAMILY,4.1,7823,Varies with device,Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
LIFESTYLE,4.1,88,20M,Free,0,Everyone,Lifestyle,"July 13, 2018",5.600.49,4.0.3 and up
TOOLS,,9,61M,Free,0,Everyone,Tools,"May 31, 2018",1.9,4.0.3 and up
FAMILY,4.4,150,5.9M,Free,0,Everyone,Entertainment,"June 11, 2018",1.07,4.0 and up
MEDICAL,,0,29M,Free,0,Everyone,Medical,"July 16, 2018",300000.1.11,4.0.3 and up
SPORTS,4.0,11151,52M,Free,0,Everyone,Sports,"June 27, 2018",2018.6,5.0 and up
FAMILY,,3,1.7M,Free,0,Teen,Entertainment,"July 26, 2015",2,2.2 and up
FAMILY,4.8,65,55M,Free,0,Everyone,Education,"November 19, 2017",1.0,4.0 and up
NEWS_AND_MAGAZINES,4.9,198,9.1M,Free,0,Everyone,News & Magazines,"May 29, 2018",3.2.2,5.0 and up
GAME,4.6,26138,15M,Free,0,Everyone,Action,"February 14, 2018",1.0.2,4.2 and up
FAMILY,,20,23M,Free,0,Everyone,Casual,"May 27, 2015",1.0.0,2.3 and up
FINANCE,4.3,12,9.0M,Free,0,Everyone,Finance,"January 22, 2018",1.18.4,4.0 and up
SPORTS,4.8,1664,17M,Free,0,Everyone,Sports,"July 31, 2018",1.2.677,4.4 and up
GAME,4.5,23599,96M,Free,0,Teen,Action,"June 1, 2018",11.0.2,4.0 and up
EVENTS,,1,11M,Free,0,Everyone,Events,"June 14, 2018",1.3.0,4.1 and up
TOOLS,4.3,80,1.7M,Free,0,Everyone,Tools,"March 20, 2018",1.2,4.0 and up
PHOTOGRAPHY,4.3,42079,17M,Free,0,Everyone,Photography,"September 24, 2015",Varies with device,4.0.3 and up
PARENTING,4.1,44,3.6M,Free,0,Everyone,Parenting,"August 7, 2018",8.2,4.0.3 and up
HEALTH_AND_FITNESS,4.2,270294,58M,Free,0,Everyone,Health & Fitness,"July 31, 2018",6.15.0,4.1 and up
TOOLS,4.3,36,12M,Free,0,Everyone,Tools,"August 21, 2017",1.0.7,4.0.3 and up
SPORTS,4.1,142,5.3M,Free,0,Everyone,Sports,"June 7, 2018",2.4,4.0 and up
