Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,days_since_update
GAME,4.4,144545,10.1-20MB,Free,0.0,Teen,Action,2465
FAMILY,3.0,10,0.1-10MB,Free,0.0,Everyone,Entertainment,800
PRODUCTIVITY,4.6,25370,Varies with device,Free,0.0,Everyone,Productivity,25
FAMILY,2.3,10,0.1-10MB,Free,0.0,Everyone,Education,569
LIFESTYLE,4.9,18,20.1-30MB,Free,0.0,Everyone,Lifestyle,156
COMICS,4.1,45651,Varies with device,Free,0.0,Teen,Comics,99
MEDICAL,4.6,1976,60.1-70MB,Free,0.0,Everyone,Medical,28
TOOLS,3.1,364,0.1-10MB,Free,0.0,Everyone,Tools,182
FAMILY,4.6,13,0.1-10MB,Free,0.0,Everyone,Entertainment,680
SOCIAL,3.9,19,10.1-20MB,Free,0.0,Teen,Social,199
GAME,4.3,1305050,Varies with device,Free,0.0,Everyone 10+,Adventure,33
GAME,4.1,341,20.1-30MB,Free,0.0,Teen,Casino,749
TRAVEL_AND_LOCAL,4.7,193364,30.1-40MB,Free,0.0,Everyone,Travel & Local,85
PRODUCTIVITY,4.3,0,0.1-10MB,Free,0.0,Everyone,Productivity,273
MEDICAL,5.0,2,0.1-10MB,Paid,2.99,Everyone,Medical,989
BOOKS_AND_REFERENCE,4.5,313,0.1-10MB,Free,0.0,Everyone,Books & Reference,27
FAMILY,4.8,306,0.1-10MB,Free,0.0,Everyone,Education,454
LIFESTYLE,2.0,8,10.1-20MB,Free,0.0,Everyone,Lifestyle,655
BOOKS_AND_REFERENCE,3.4,1680,0.1-10MB,Free,0.0,Everyone,Books & Reference,741
FAMILY,4.1,7823,Varies with device,Free,0.0,Teen,Entertainment,35
LIFESTYLE,4.1,88,10.1-20MB,Free,0.0,Everyone,Lifestyle,49
TOOLS,4.3,9,60.1-70MB,Free,0.0,Everyone,Tools,92
FAMILY,4.4,150,0.1-10MB,Free,0.0,Everyone,Entertainment,81
MEDICAL,4.3,0,20.1-30MB,Free,0.0,Everyone,Medical,46
SPORTS,4.0,11151,50.1-60MB,Free,0.0,Everyone,Sports,65
FAMILY,4.3,3,0.1-10MB,Free,0.0,Teen,Entertainment,1132
FAMILY,4.8,65,50.1-60MB,Free,0.0,Everyone,Education,285
NEWS_AND_MAGAZINES,4.9,198,0.1-10MB,Free,0.0,Everyone,News & Magazines,94
GAME,4.6,26138,10.1-20MB,Free,0.0,Everyone,Action,198
FAMILY,4.3,20,20.1-30MB,Free,0.0,Everyone,Casual,1192
FINANCE,4.3,12,0.1-10MB,Free,0.0,Everyone,Finance,221
SPORTS,4.8,1664,10.1-20MB,Free,0.0,Everyone,Sports,31
GAME,4.5,23599,90.1-100MB,Free,0.0,Teen,Action,91
EVENTS,4.3,1,10.1-20MB,Free,0.0,Everyone,Events,78
TOOLS,4.3,80,0.1-10MB,Free,0.0,Everyone,Tools,164
PHOTOGRAPHY,4.3,42079,10.1-20MB,Free,0.0,Everyone,Photography,1072
PARENTING,4.1,44,0.1-10MB,Free,0.0,Everyone,Parenting,24
HEALTH_AND_FITNESS,4.2,270294,50.1-60MB,Free,0.0,Everyone,Health & Fitness,31
TOOLS,4.3,36,10.1-20MB,Free,0.0,Everyone,Tools,375
SPORTS,4.1,142,0.1-10MB,Free,0.0,Everyone,Sports,85
MAPS_AND_NAVIGATION,4.2,41225,Varies with device,Free,0.0,Everyone,Maps & Navigation,28
GAME,4.4,18652,60.1-70MB,Paid,2.99,Everyone,Board,58
FINANCE,3.7,112,0.1-10MB,Free,0.0,Everyone,Finance,57
FAMILY,4.0,3788,30.1-40MB,Free,0.0,Everyone,Entertainment,44
FAMILY,4.3,4,30.1-40MB,Free,0.0,Everyone,Puzzle,695
NEWS_AND_MAGAZINES,4.3,23641,20.1-30MB,Free,0.0,Everyone 10+,News & Magazines,63
BOOKS_AND_REFERENCE,4.3,0,0.1-10MB,Free,0.0,Everyone,Books & Reference,198
VIDEO_PLAYERS,4.6,36969,20.1-30MB,Free,0.0,Everyone,Video Players & Editors,25
FAMILY,4.4,83,80.1-90MB,Free,0.0,Everyone,Education,64
PERSONALIZATION,4.6,6466641,Varies with device,Free,0.0,Teen,Personalization,43
SHOPPING,3.9,16678,Varies with device,Free,0.0,Everyone,Shopping,37
PRODUCTIVITY,4.1,22,0.1-10MB,Free,0.0,Everyone,Productivity,40
FINANCE,4.3,24,60.1-70MB,Free,0.0,Everyone,Finance,135
FINANCE,2.9,19,0.1-10MB,Free,0.0,Everyone,Finance,431
BOOKS_AND_REFERENCE,3.3,1862,10.1-20MB,Free,0.0,Everyone,Books & Reference,126
FAMILY,5.0,25,Varies with device,Free,0.0,Everyone,Education,214
SPORTS,4.2,277904,Varies with device,Free,0.0,Mature 17+,Sports,29
HEALTH_AND_FITNESS,4.3,0,0.1-10MB,Paid,0.99,Everyone,Health & Fitness,277
FAMILY,4.4,23302,10.1-20MB,Free,0.0,Everyone,Puzzle,160
PERSONALIZATION,4.3,2538,0.1-10MB,Paid,2.99,Everyone,Personalization,161
SHOPPING,4.4,35563,0.1-10MB,Free,0.0,Everyone,Shopping,39
PARENTING,5.0,1,20.1-30MB,Free,0.0,Everyone,Parenting,224
MEDICAL,4.6,15537,Varies with device,Free,0.0,Everyone,Medical,30
VIDEO_PLAYERS,3.1,2689,Varies with device,Free,0.0,Everyone,Video Players & Editors,44
PHOTOGRAPHY,4.2,348,0.1-10MB,Free,0.0,Everyone,Photography,1603
SPORTS,4.7,163,0.1-10MB,Paid,0.99,Everyone,Sports,329
HEALTH_AND_FITNESS,4.4,44939,Varies with device,Free,0.0,Everyone,Health & Fitness,78
PERSONALIZATION,4.3,2,10.1-20MB,Free,0.0,Teen,Personalization,544
FINANCE,4.2,257,40.1-50MB,Free,0.0,Everyone,Finance,31
FAMILY,4.6,28,20.1-30MB,Free,0.0,Everyone,Puzzle,227
SOCIAL,4.3,3806669,Varies with device,Free,0.0,Mature 17+,Social,30
HEALTH_AND_FITNESS,4.5,1203,0.1-10MB,Free,0.0,Everyone,Health & Fitness,684
FAMILY,4.4,265,0.1-10MB,Free,0.0,Everyone,Entertainment,602
BOOKS_AND_REFERENCE,5.0,4,0.1-10MB,Free,0.0,Everyone,Books & Reference,169
GAME,4.4,2610622,40.1-50MB,Free,0.0,Everyone,Arcade,59
MEDICAL,4.3,1,20.1-30MB,Free,0.0,Everyone,Medical,274
SPORTS,4.5,36255,20.1-30MB,Free,0.0,Everyone,Sports,30
TOOLS,3.9,18751,0.1-10MB,Free,0.0,Everyone,Tools,73
LIFESTYLE,4.4,13565,0.1-10MB,Free,0.0,Everyone,Lifestyle,26
FOOD_AND_DRINK,4.3,1,10.1-20MB,Free,0.0,Everyone,Food & Drink,520
NEWS_AND_MAGAZINES,4.5,256680,10.1-20MB,Free,0.0,Everyone,News & Magazines,38
SPORTS,4.3,3,0.1-10MB,Free,0.0,Everyone,Sports,71
FAMILY,4.6,1481,0.1-10MB,Free,0.0,Teen,Entertainment,153
TOOLS,4.8,1456,10.1-20MB,Free,0.0,Everyone,Tools,655
TOOLS,4.5,12759815,10.1-20MB,Free,0.0,Everyone,Tools,37
MEDICAL,2.9,92,0.1-10MB,Free,0.0,Everyone,Medical,77
TOOLS,3.4,7816,0.1-10MB,Free,0.0,Everyone,Tools,762
GAME,4.0,23168,50.1-60MB,Free,0.0,Teen,Adventure,53
FAMILY,4.0,20763,Varies with device,Free,0.0,Everyone,Educational;Education,178
MAPS_AND_NAVIGATION,1.9,179,0.1-10MB,Free,0.0,Everyone,Maps & Navigation,171
GAME,4.7,705,0.1-10MB,Free,0.0,Everyone,Board,1130
HEALTH_AND_FITNESS,3.9,232153,Varies with device,Free,0.0,Everyone,Health & Fitness,29
FAMILY,3.2,37584,30.1-40MB,Free,0.0,Everyone,Casual;Pretend Play,730
PERSONALIZATION,3.6,5,40.1-50MB,Paid,1.49,Everyone,Personalization,364
HEALTH_AND_FITNESS,3.7,5559,0.1-10MB,Free,0.0,Everyone,Health & Fitness,899
FAMILY,4.3,0,0.1-10MB,Free,0.0,Everyone,Entertainment,105
FOOD_AND_DRINK,4.3,82,0.1-10MB,Free,0.0,Everyone,Food & Drink,69
MEDICAL,4.3,0,0.1-10MB,Free,0.0,Everyone,Medical,127
GAME,4.5,27711703,70.1-80MB,Free,0.0,Everyone 10+,Arcade,50
GAME,3.8,47386,90.1-100MB,Free,0.0,Everyone,Racing,86
GAME,4.3,47698,0.1-10MB,Free,0.0,Everyone,Board,871
FAMILY,3.7,3482,30.1-40MB,Free,0.0,Everyone,Casual,24
FAMILY,4.3,1,20.1-30MB,Free,0.0,Everyone,Entertainment,262
HEALTH_AND_FITNESS,4.6,48226,20.1-30MB,Free,0.0,Everyone,Health & Fitness,179
GAME,4.0,484981,Varies with device,Free,0.0,Everyone 10+,Strategy,77
WEATHER,3.3,115,0.1-10MB,Free,0.0,Everyone,Weather,554
EVENTS,4.3,5,0.1-10MB,Free,0.0,Everyone,Events,27
SPORTS,4.3,7,0.1-10MB,Free,0.0,Everyone,Sports,79
MEDICAL,4.3,3,0.1-10MB,Paid,0.99,Everyone,Medical,1682
TRAVEL_AND_LOCAL,3.5,30447,70.1-80MB,Free,0.0,Everyone,Travel & Local,42
BEAUTY,4.0,1,0.1-10MB,Free,0.0,Everyone,Beauty,366
GAME,4.3,10306,40.1-50MB,Free,0.0,Mature 17+,Action,30
BOOKS_AND_REFERENCE,4.2,27,0.1-10MB,Free,0.0,Everyone,Books & Reference,205
FINANCE,3.9,1098,40.1-50MB,Free,0.0,Everyone,Finance,114
TRAVEL_AND_LOCAL,4.3,100,10.1-20MB,Free,0.0,Everyone,Travel & Local,517
HEALTH_AND_FITNESS,4.0,50,10.1-20MB,Free,0.0,Everyone,Health & Fitness,59
HEALTH_AND_FITNESS,2.4,44,40.1-50MB,Free,0.0,Everyone,Health & Fitness,30
BUSINESS,4.3,0,50.1-60MB,Free,0.0,Everyone,Business,211
GAME,4.7,295241,0.1-10MB,Free,0.0,Everyone,Word,86
TOOLS,4.0,177,0.1-10MB,Free,0.0,Everyone,Tools,1215
HOUSE_AND_HOME,4.5,8481,0.1-10MB,Free,0.0,Everyone,House & Home,28
BUSINESS,4.3,4,10.1-20MB,Free,0.0,Everyone,Business,644
FOOD_AND_DRINK,4.3,0,10.1-20MB,Free,0.0,Everyone,Food & Drink,639
PERSONALIZATION,4.1,169,20.1-30MB,Free,0.0,Everyone,Personalization,159
BOOKS_AND_REFERENCE,4.5,246315,Varies with device,Free,0.0,Everyone,Books & Reference,1141
FINANCE,4.2,283,0.1-10MB,Free,0.0,Everyone,Finance,127
FAMILY,4.0,5886,50.1-60MB,Free,0.0,Everyone,Simulation,95
VIDEO_PLAYERS,4.5,641219,Varies with device,Free,0.0,Everyone,Video Players & Editors,36
HEALTH_AND_FITNESS,4.4,26540,40.1-50MB,Free,0.0,Everyone,Health & Fitness,568
MEDICAL,4.3,0,0.1-10MB,Free,0.0,Everyone,Medical,67
LIFESTYLE,4.3,0,0.1-10MB,Free,0.0,Everyone,Lifestyle,456
MEDICAL,4.1,80,40.1-50MB,Paid,14.99,Everyone,Medical,1760
FAMILY,3.3,353,0.1-10MB,Free,0.0,Everyone,Entertainment,270
TOOLS,3.9,21,10.1-20MB,Free,0.0,Everyone,Tools,224
FAMILY,4.0,15875,30.1-40MB,Free,0.0,Teen,Simulation,546
TRAVEL_AND_LOCAL,4.0,26665,0.1-10MB,Free,0.0,Everyone,Travel & Local,155
COMMUNICATION,2.3,223,0.1-10MB,Paid,1.49,Everyone,Communication,1497
TRAVEL_AND_LOCAL,4.4,221,30.1-40MB,Free,0.0,Everyone,Travel & Local,147
GAME,4.2,522466,30.1-40MB,Free,0.0,Mature 17+,Role Playing,73
LIFESTYLE,4.2,29756,40.1-50MB,Free,0.0,Everyone,Lifestyle,43
DATING,4.2,7779,10.1-20MB,Free,0.0,Mature 17+,Dating,28
BOOKS_AND_REFERENCE,4.5,12322,20.1-30MB,Free,0.0,Everyone,Books & Reference,622
