Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,Last Updated
GAME,4.4,144545,10.1-20MB,Free,0,Teen,Action,"December 1, 2011"
FAMILY,3.0,10,0.1-10MB,Free,0,Everyone,Entertainment,"June 22, 2016"
PRODUCTIVITY,4.6,25370,Varies with device,Free,0,Everyone,Productivity,"August 6, 2018"
FAMILY,2.3,10,0.1-10MB,Free,0,Everyone,Education,"February 8, 2017"
LIFESTYLE,4.9,18,20.1-30MB,Free,0,Everyone,Lifestyle,"March 28, 2018"
COMICS,4.1,45651,Varies with device,Free,0,Teen,Comics,"May 24, 2018"
MEDICAL,4.6,1976,60.1-70MB,Free,0,Everyone,Medical,"August 3, 2018"
TOOLS,3.1,364,0.1-10MB,Free,0,Everyone,Tools,"March 2, 2018"
FAMILY,4.6,13,0.1-10MB,Free,0,Everyone,Entertainment,"October 20, 2016"
SOCIAL,3.9,19,10.1-20MB,Free,0,Teen,Social,"February 13, 2018"
GAME,4.3,1305050,Varies with device,Free,0,Everyone 10+,Adventure,"July 29, 2018"
GAME,4.1,341,20.1-30MB,Free,0,Teen,Casino,"August 12, 2016"
TRAVEL_AND_LOCAL,4.7,193364,30.1-40MB,Free,0,Everyone,Travel & Local,"June 7, 2018"
PRODUCTIVITY,4.3,0,0.1-10MB,Free,0,Everyone,Productivity,"December 1, 2017"
MEDICAL,5.0,2,0.1-10MB,Paid,2.99,Everyone,Medical,"December 16, 2015"
BOOKS_AND_REFERENCE,4.5,313,0.1-10MB,Free,0,Everyone,Books & Reference,"August 4, 2018"
FAMILY,4.8,306,0.1-10MB,Free,0,Everyone,Education,"June 3, 2017"
LIFESTYLE,2.0,8,10.1-20MB,Free,0,Everyone,Lifestyle,"November 14, 2016"
BOOKS_AND_REFERENCE,3.4,1680,0.1-10MB,Free,0,Everyone,Books & Reference,"August 20, 2016"
FAMILY,4.1,7823,Varies with device,Free,0,Teen,Entertainment,"July 27, 2018"
LIFESTYLE,4.1,88,10.1-20MB,Free,0,Everyone,Lifestyle,"July 13, 2018"
TOOLS,4.3,9,60.1-70MB,Free,0,Everyone,Tools,"May 31, 2018"
FAMILY,4.4,150,0.1-10MB,Free,0,Everyone,Entertainment,"June 11, 2018"
MEDICAL,4.3,0,20.1-30MB,Free,0,Everyone,Medical,"July 16, 2018"
SPORTS,4.0,11151,50.1-60MB,Free,0,Everyone,Sports,"June 27, 2018"
