Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,days_since_update
TRAVEL_AND_LOCAL,4.4,17915,Varies with device,Free,0.0,Everyone,Travel & Local,44
VIDEO_PLAYERS,3.7,321,0.1-10MB,Free,0.0,Everyone,Video Players & Editors,535
FINANCE,5.0,12,0.1-10MB,Free,0.0,Everyone,Finance,1821
FAMILY,4.7,303,40.1-50MB,Free,0.0,Everyone,Entertainment,40
FINANCE,4.5,80904,10.1-20MB,Free,0.0,Everyone,Finance,57
FAMILY,4.3,344283,90.1-100MB,Free,0.0,Teen,Role Playing,256
FAMILY,4.6,14014,50.1-60MB,Free,0.0,Everyone,Education;Education,56
MEDICAL,4.3,0,10.1-20MB,Free,0.0,Everyone,Medical,30
GAME,4.2,145353,80.1-90MB,Free,0.0,Teen,Arcade,38
FAMILY,4.6,227,10.1-20MB,Free,0.0,Everyone,Education,323
FINANCE,5.0,1,0.1-10MB,Free,0.0,Everyone,Finance,498
SOCIAL,2.4,37,30.1-40MB,Free,0.0,Teen,Social,432
PERSONALIZATION,4.4,175,0.1-10MB,Paid,0.99,Everyone,Personalization,1693
TRAVEL_AND_LOCAL,4.7,1830387,Varies with device,Free,0.0,Everyone,Travel & Local,25
MEDICAL,4.2,4852,30.1-40MB,Free,0.0,Everyone,Medical,1774
PHOTOGRAPHY,4.3,194,0.1-10MB,Free,0.0,Everyone,Photography,197
MAPS_AND_NAVIGATION,4.7,38375,40.1-50MB,Free,0.0,Everyone,Maps & Navigation,36
HEALTH_AND_FITNESS,4.4,26540,40.1-50MB,Free,0.0,Everyone,Health & Fitness,568
COMMUNICATION,4.3,40241,Varies with device,Free,0.0,Everyone,Communication,62
SOCIAL,5.0,30,10.1-20MB,Free,0.0,Teen,Social,104
MEDICAL,4.3,7,0.1-10MB,Free,0.0,Everyone,Medical,687
LIBRARIES_AND_DEMO,4.1,120,0.1-10MB,Free,0.0,Everyone,Libraries & Demo,572
PHOTOGRAPHY,4.3,2,10.1-20MB,Free,0.0,Everyone,Photography,100
DATING,4.3,0,0.1-10MB,Free,0.0,Everyone,Dating,35
SOCIAL,4.0,33249,0.1-10MB,Free,0.0,Everyone,Social,1275
FAMILY,4.5,5591653,90.1-100MB,Free,0.0,Everyone 10+,Strategy,44
TOOLS,4.6,136874,Varies with device,Free,0.0,Everyone,Tools,67
HEALTH_AND_FITNESS,4.4,69395,Varies with device,Free,0.0,Everyone,Health & Fitness,28
