Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,Last Updated
TRAVEL_AND_LOCAL,4.4,17915,Varies with device,Free,0,Everyone,Travel & Local,"July 18, 2018"
VIDEO_PLAYERS,3.7,321,1.3M,Free,0,Everyone,Video Players & Editors,"March 14, 2017"
FINANCE,5.0,12,775k,Free,0,Everyone,Finance,"September 5, 2013"
FAMILY,4.7,303,42M,Free,0,Everyone,Entertainment,"July 22, 2018"
FINANCE,4.5,80904,16M,Free,0,Everyone,Finance,"July 5, 2018"
FAMILY,4.3,344283,95M,Free,0,Teen,Role Playing,"December 18, 2017"
FAMILY,4.6,14014,60M,Free,0,Everyone,Education;Education,"July 6, 2018"
MEDICAL,4.3,0,16M,Free,0,Everyone,Medical,"August 1, 2018"
GAME,4.2,145353,85M,Free,0,Teen,Arcade,"July 24, 2018"
FAMILY,4.6,227,11M,Free,0,Everyone,Education,"October 12, 2017"
FINANCE,5.0,1,8.4M,Free,0,Everyone,Finance,"April 20, 2017"
SOCIAL,2.4,37,37M,Free,0,Teen,Social,"June 25, 2017"
PERSONALIZATION,4.4,175,5.5M,Paid,$0.99,Everyone,Personalization,"January 11, 2014"
TRAVEL_AND_LOCAL,4.7,1830387,Varies with device,Free,0,Everyone,Travel & Local,"August 6, 2018"
MEDICAL,4.2,4852,34M,Free,0,Everyone,Medical,"October 22, 2013"
PHOTOGRAPHY,4.3,194,1.5M,Free,0,Everyone,Photography,"February 15, 2018"
MAPS_AND_NAVIGATION,4.7,38375,49M,Free,0,Everyone,Maps & Navigation,"July 26, 2018"
HEALTH_AND_FITNESS,4.4,26540,43M,Free,0,Everyone,Health & Fitness,"February 9, 2017"
COMMUNICATION,4.3,40241,Varies with device,Free,0,Everyone,Communication,"June 30, 2018"
SOCIAL,5.0,30,13M,Free,0,Teen,Social,"May 19, 2018"
MEDICAL,4.3,7,5.7M,Free,0,Everyone,Medical,"October 13, 2016"
LIBRARIES_AND_DEMO,4.1,120,782k,Free,0,Everyone,Libraries & Demo,"February 5, 2017"
