Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,Last Updated
TRAVEL_AND_LOCAL,4.4,17915,Varies with device,Free,0,Everyone,Travel & Local,"July 18, 2018"
VIDEO_PLAYERS,3.7,321,0.1-10MB,Free,0,Everyone,Video Players & Editors,"March 14, 2017"
FINANCE,5.0,12,0.1-10MB,Free,0,Everyone,Finance,"September 5, 2013"
FAMILY,4.7,303,40.1-50MB,Free,0,Everyone,Entertainment,"July 22, 2018"
FINANCE,4.5,80904,10.1-20MB,Free,0,Everyone,Finance,"July 5, 2018"
FAMILY,4.3,344283,90.1-100MB,Free,0,Teen,Role Playing,"December 18, 2017"
FAMILY,4.6,14014,50.1-60MB,Free,0,Everyone,Education;Education,"July 6, 2018"
MEDICAL,4.3,0,10.1-20MB,Free,0,Everyone,Medical,"August 1, 2018"
GAME,4.2,145353,80.1-90MB,Free,0,Teen,Arcade,"July 24, 2018"
FAMILY,4.6,227,10.1-20MB,Free,0,Everyone,Education,"October 12, 2017"
FINANCE,5.0,1,0.1-10MB,Free,0,Everyone,Finance,"April 20, 2017"
SOCIAL,2.4,37,30.1-40MB,Free,0,Teen,Social,"June 25, 2017"
PERSONALIZATION,4.4,175,0.1-10MB,Paid,0.99,Everyone,Personalization,"January 11, 2014"
TRAVEL_AND_LOCAL,4.7,1830387,Varies with device,Free,0,Everyone,Travel & Local,"August 6, 2018"
MEDICAL,4.2,4852,30.1-40MB,Free,0,Everyone,Medical,"October 22, 2013"
PHOTOGRAPHY,4.3,194,0.1-10MB,Free,0,Everyone,Photography,"February 15, 2018"
MAPS_AND_NAVIGATION,4.7,38375,40.1-50MB,Free,0,Everyone,Maps & Navigation,"July 26, 2018"
HEALTH_AND_FITNESS,4.4,26540,40.1-50MB,Free,0,Everyone,Health & Fitness,"February 9, 2017"
COMMUNICATION,4.3,40241,Varies with device,Free,0,Everyone,Communication,"June 30, 2018"
SOCIAL,5.0,30,10.1-20MB,Free,0,Teen,Social,"May 19, 2018"
MEDICAL,4.3,7,0.1-10MB,Free,0,Everyone,Medical,"October 13, 2016"
LIBRARIES_AND_DEMO,4.1,120,0.1-10MB,Free,0,Everyone,Libraries & Demo,"February 5, 2017"
PHOTOGRAPHY,4.3,2,10.1-20MB,Free,0,Everyone,Photography,"May 23, 2018"
DATING,4.3,0,0.1-10MB,Free,0,Everyone,Dating,"July 27, 2018"
SOCIAL,4.0,33249,0.1-10MB,Free,0,Everyone,Social,"March 5, 2015"
FAMILY,4.5,5591653,90.1-100MB,Free,0,Everyone 10+,Strategy,"July 18, 2018"
TOOLS,4.6,136874,Varies with device,Free,0,Everyone,Tools,"June 25, 2018"
HEALTH_AND_FITNESS,4.4,69395,Varies with device,Free,0,Everyone,Health & Fitness,"August 3, 2018"
