variable,coefficients,intercept
Reviews,52739830.984121785,15812640.806734316
Rating,3820601.502356481,15812640.80673431
days_since_update,-8727138.80821661,15812640.806734318
Price,-69996.9513827932,15877086.35091548
Category_FAMILY,-12791690.004664302,18147655.252927076
Category_GAME,14252780.964787893,14315375.647725811
Category_Rare,-15244371.693807185,16746077.311509643
Category_TOOLS,-1505860.4485983877,15932804.025187971
Size_Varies with device,55273727.54366109,7093261.277245346
Size_0.1-10MB,-23204621.287475795,24517049.599188052
Size_10.1-20MB,-8311737.758164497,17115183.658826746
Size_30.1-40MB,-6518903.4970019795,16198272.43657311
Size_20.1-30MB,-12142229.432486026,17141397.233329017
Type_Free,17019135.32304517,73080.69478525408
Content Rating_Everyone,-10823370.383011186,24491805.66414435
Content Rating_Teen,15335217.238769025,14084953.16348278
Genres_Entertainment,-7068245.036101561,16234029.492581239
Genres_Rare,-11067855.996803239,17522849.182624117
Genres_Education,-15616482.540539037,16630201.124239475
